bioproject_accession,bioproject_title,project_type,sample_accession,organism,experiment_accession,platform,run_accession,spots,bases
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677940,Zaire ebolavirus,SRX674216,ILLUMINA,SRR1553553,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677940,Zaire ebolavirus,SRX674215,ILLUMINA,SRR1553554,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS694091,Unidentified virus,SRX691922,ILLUMINA,SRR1564809,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908617,Zaire ebolavirus,SRX994050,ILLUMINA,SRR1972773,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803953,Zaire ebolavirus,SRX824336,ILLUMINA,SRR1735173,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803830,Zaire ebolavirus,SRX824214,ILLUMINA,SRR1735051,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908584,Zaire ebolavirus,SRX994106,ILLUMINA,SRR1972829,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803903,Zaire ebolavirus,SRX824286,ILLUMINA,SRR1735123,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908527,Zaire ebolavirus,SRX994186,ILLUMINA,SRR1972909,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS694115,Unidentified virus,SRX691946,ILLUMINA,SRR1564833,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803785,Zaire ebolavirus,SRX824168,ILLUMINA,SRR1735005,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908741,Zaire ebolavirus,SRX993931,ILLUMINA,SRR1972654,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908570,Zaire ebolavirus,SRX994132,ILLUMINA,SRR1972855,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803913,Zaire ebolavirus,SRX824296,ILLUMINA,SRR1735133,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908623,Zaire ebolavirus,SRX994045,ILLUMINA,SRR1972768,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908484,Zaire ebolavirus,SRX994251,ILLUMINA,SRR1972974,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803796,Zaire ebolavirus,SRX824179,ILLUMINA,SRR1735016,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803931,Zaire ebolavirus,SRX824314,ILLUMINA,SRR1735151,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677909,Zaire ebolavirus,SRX674154,ILLUMINA,SRR1553491,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677909,Zaire ebolavirus,SRX674153,ILLUMINA,SRR1553492,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908546,Zaire ebolavirus,SRX994164,ILLUMINA,SRR1972887,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908485,Zaire ebolavirus,SRX994236,ILLUMINA,SRR1972959,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS694101,Unidentified virus,SRX691932,ILLUMINA,SRR1564819,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803888,Zaire ebolavirus,SRX824273,ILLUMINA,SRR1735110,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803783,Zaire ebolavirus,SRX994088,ILLUMINA,SRR1972811,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803783,Zaire ebolavirus,SRX824166,ILLUMINA,SRR1735003,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803858,Zaire ebolavirus,SRX994244,ILLUMINA,SRR1972967,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803858,Zaire ebolavirus,SRX824242,ILLUMINA,SRR1735079,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803906,Zaire ebolavirus,SRX824288,ILLUMINA,SRR1735125,,
